TIMESTAMP        work2-RQ         work2-RD         work2-WR         
10.000000         0.000000          0.000000          0.000000         
20.000000         0.000000          0.000000          0.000000         
30.000000         0.000000          0.000000          0.000000         
41.000000         0.000000          0.000000          0.000000         
51.000000         0.000000          0.000000          0.000000         
61.000000         0.000000          0.000000          0.000000         
71.000000         0.000000          0.000000          0.000000         
81.000000         0.000000          0.000000          0.000000         
91.000000         0.000000          0.000000          0.000000         
102.000000        0.000000          0.000000          0.000000         
112.000000        0.000000          0.000000          0.000000         
122.000000        0.000000          0.000000          0.000000         
132.000000        0.000000          0.000000          0.000000         
143.000000        0.000000          0.000000          0.000000         
153.000000        0.000000          0.000000          0.000000         
163.000000        0.000000          0.000000          0.000000         
173.000000        0.000000          0.000000          0.000000         
184.000000        0.000000          0.000000          0.000000         
194.000000        0.000000          0.000000          0.000000         
204.000000        0.000000          0.000000          0.000000         
214.000000        0.000000          0.000000          0.000000         
225.000000        0.000000          0.000000          0.000000         
235.000000        0.000000          0.000000          0.000000         
245.000000        0.000000          0.000000          0.000000         
255.000000        0.000000          0.000000          0.000000         
265.000000        0.000000          0.000000          0.000000         
276.000000        0.000000          0.000000          0.000000         
286.000000        0.000000          0.000000          0.000000         
296.000000        0.000000          0.000000          0.000000         
306.000000        0.000000          0.000000          0.000000         
