TIMESTAMP        work2-RQ         work2-RD         work2-WR         
10.000000         0.000000          0.000000          0.000000         
20.000000         0.000000          0.000000          0.000000         
30.000000         0.000000          0.000000          0.000000         
40.000000         0.000000          0.000000          0.000000         
51.000000         0.000000          0.000000          0.000000         
61.000000         0.000000          0.000000          0.000000         
71.000000         0.000000          0.000000          0.000000         
81.000000         0.000000          0.000000          0.000000         
91.000000         0.000000          0.000000          0.000000         
101.000000        0.000000          0.000000          0.000000         
112.000000        0.000000          0.000000          0.000000         
122.000000        0.000000          0.000000          0.000000         
132.000000        0.000000          0.000000          0.000000         
143.000000        0.000000          0.000000          0.000000         
158.000000        0.000000          0.000000          0.000000         
173.000000        0.000000          0.000000          0.000000         
188.000000        0.000000          0.000000          0.000000         
203.000000        0.000000          0.000000          0.000000         
218.000000        0.000000          0.000000          0.000000         
229.000000        0.000000          0.000000          0.000000         
239.000000        0.000000          0.000000          0.000000         
249.000000        0.000000          0.000000          0.000000         
259.000000        0.000000          0.000000          0.000000         
270.000000        0.000000          0.000000          0.000000         
280.000000        0.000000          0.000000          0.000000         
290.000000        0.000000          0.000000          0.000000         
300.000000        0.000000          0.000000          0.000000         
311.000000        0.000000          0.000000          0.000000         
321.000000        0.000000          0.000000          0.000000         
331.000000        0.000000          0.000000          0.000000         
341.000000        0.000000          0.000000          0.000000         
352.000000        0.000000          0.000000          0.000000         
362.000000        0.000000          0.000000          0.000000         
372.000000        0.000000          0.000000          0.000000         
382.000000        0.000000          0.000000          0.000000         
393.000000        0.000000          0.000000          0.000000         
403.000000        0.000000          0.000000          0.000000         
413.000000        0.000000          0.000000          0.000000         
423.000000        0.000000          0.000000          0.000000         
433.000000        0.000000          0.000000          0.000000         
444.000000        0.000000          0.000000          0.000000         
454.000000        0.000000          0.000000          0.000000         
464.000000        0.000000          0.000000          0.000000         
474.000000        0.000000          0.000000          0.000000         
485.000000        0.000000          0.000000          0.000000         
495.000000        0.000000          0.000000          0.000000         
505.000000        0.000000          0.000000          0.000000         
515.000000        0.000000          0.000000          0.000000         
525.000000        0.000000          0.000000          0.000000         
536.000000        0.000000          0.000000          0.000000         
546.000000        0.000000          0.000000          0.000000         
